PlayerID;ClubID;Since
38191;41;1953-07-01
50816;506;1957-07-01
56626;416;1951-07-01
72381;3;1958-07-01
75999;170;1950-07-01
81612;33;1958-07-01
89669;46;1957-07-01
94085;41;1952-07-01
94114;82;1954-07-01
95103;48;1958-07-01
96022;3;1948-07-01
96027;3;1958-07-01
96560;16;1952-07-01
96561;91;1957-07-01
96598;16;1956-07-01
97027;79;1958-07-01
97388;18;1957-07-01
97634;101;1956-07-01
99716;24;1956-07-01
99723;24;1958-07-01
99725;24;1958-07-01
100490;4;1954-07-01
100492;4;1957-07-01
102152;65;1948-07-01
126010;1038;1958-07-01
135744;418;1958-07-01
135771;131;1942-06-30
136479;131;1958-07-01
137208;260;1958-07-01
145515;12;1958-07-01
148020;669;1958-07-01
151245;1421;1956-07-01
151249;419;1954-07-01
151784;468;1956-07-01
151819;12;1955-12-01
152029;8689;1956-07-01
152443;234;1951-07-01
153049;234;1955-07-01
153802;234;1958-07-01
154131;234;1952-07-01
154248;468;1958-07-01
155511;621;1948-07-01
166748;5;1957-07-01
167079;443;1958-01-01
170328;170;1946-07-01
170329;170;1953-07-01
170711;418;1954-07-01
170713;418;1952-07-01
170721;1421;1952-07-01
170732;1421;1949-07-01
172231;667;1953-07-01
174158;5;1949-07-01
174163;1038;1958-07-01
176039;31;1957-10-30
176040;31;1954-11-01
176045;124;1958-07-01
176051;31;1958-03-24
176741;631;1953-07-01
176902;124;1954-04-01
177212;29;1957-07-01
177216;29;1952-09-01
177218;31;1957-04-29
177248;43;1955-07-01
177292;543;1954-09-01
179149;676;1952-07-01
182034;2844;1953-07-01
190462;398;1953-07-01
193730;5;1945-07-01
193793;418;1950-07-01
200634;180;1956-07-01
205280;371;1957-06-30
216059;279;1952-07-01
216062;634;1958-07-01
216067;634;1956-07-01
222562;931;1958-07-01
222580;931;1958-07-01
232473;1038;1948-07-01
235943;1025;1958-07-01
236054;1041;1958-07-01
237180;150;1955-06-30
237700;12;1954-07-01
237714;5;1955-07-01
237716;430;1957-07-01
237777;197;1958-07-01
238704;131;1956-12-01
238741;131;1956-07-01
239558;468;1955-07-01
240472;234;1956-07-01
240591;234;1952-07-01
243929;1020;1957-08-01
244343;170;1949-07-01
244896;418;1957-05-01
245241;1421;1955-07-01
245257;430;1955-12-01
245258;398;1958-12-01
245265;416;1958-07-01
245297;294;1954-07-01
245299;131;1957-07-01
245319;294;1958-07-01
246907;164;1950-07-01
246986;122;1955-12-01
247059;450;1955-07-01
247099;197;1956-07-01
247430;371;1949-07-01
247874;46;1947-12-01
247880;46;1952-07-01
247881;46;1956-07-01
248636;416;1956-07-01
248795;131;1944-12-01
248813;418;1946-06-20
249219;6195;1950-12-01
249220;800;1953-07-01
249243;276;1955-07-01
251072;148;1952-12-01
251095;416;1958-07-01
251096;13;1958-09-01
253266;12;1958-07-01
266631;3837;1954-01-01
289310;5;1955-07-01
289377;1044;1951-01-01
289653;985;1952-07-01
289694;398;1958-07-01
289701;430;1949-07-01
290162;5;1956-06-30
290966;301;1958-07-01
291527;289;1952-07-01
291533;677;1958-08-01
292441;141;1953-07-01
293097;506;1954-07-01
293486;416;1957-07-01
293494;279;1950-07-01
293544;12;1955-12-01
293879;162;1954-07-01
295847;800;1954-07-01
297871;9026;1958-07-01
297874;399;1958-09-01
299337;543;1951-07-01
300837;1025;1948-07-01
300898;131;1950-07-01
301114;6195;1950-07-01
302126;156;1958-07-01
302132;204;1953-07-01
303092;588;1950-01-01
303375;410;1953-07-01
303821;1132;1957-07-01
306420;6055;1955-07-01
306545;511;1957-07-01
306787;279;1954-01-01
308606;1025;1950-07-01
312236;800;1952-07-01
313707;418;1950-07-01
313717;131;1954-07-01
313721;940;1953-07-01
313797;150;1954-07-01
322773;62;1955-07-01
323607;337;1953-10-01
324464;379;1958-11-01
324529;1181;1957-07-01
348607;131;1943-07-01
348782;418;1944-12-01
356083;1038;1952-12-01
369034;1038;1954-07-01
369262;6195;1949-07-01
389986;12;1957-06-30
394533;410;1951-07-01
411609;350;1954-07-01
415771;1390;1957-07-01
415774;6195;1955-07-01
415775;6195;1951-07-01
415776;46;1958-07-01
422628;506;1953-07-01
422629;800;1954-07-01
439305;36;1927-12-01
449613;337;1952-11-01
459545;1025;1956-07-01
461183;46;1958-07-01
466628;244;1957-12-01
468746;410;1951-07-01
473381;410;1958-07-01
480221;618;1957-07-01
497931;1038;1951-07-01
497936;46;1956-07-01
505236;506;1958-07-01
505362;398;1955-07-01
509194;276;1958-07-01
509238;237;1958-01-01
514460;6195;1950-07-01
514464;6195;1954-07-01
514478;1038;1955-07-01
515918;410;1950-07-01
516034;1025;1947-07-01
516035;1038;1952-07-01
516137;6195;1949-07-01
516144;416;1955-07-01
518203;410;1954-12-01
518205;130;1954-07-01
518208;1038;1948-07-01
518216;1390;1953-07-01
518273;46;1949-07-01
519988;800;1951-07-01
522221;1025;1954-07-01
523813;506;1955-07-01
547573;800;1950-07-01
555377;1041;1956-07-01
568470;36;1919-07-01
619285;11;1954-07-01
624524;1035;1955-01-01
625061;903;1957-07-01
626587;543;1955-12-01
627687;512;1953-09-01
628410;1132;1957-10-01
628411;355;1953-01-01
629028;1010;1956-08-01
629950;119;1936-07-01
630092;119;1930-07-01
631242;337;1958-11-01
631665;1035;1950-11-01
634879;1035;1953-11-01
643751;164;1954-03-01
645276;148;1951-07-01
677922;1181;1952-07-01
688381;350;1957-12-26
688692;405;1956-03-01
690282;355;1947-10-01
690494;1132;1957-11-01
690496;350;1957-07-01
692314;418;1952-07-01
700628;148;1952-01-01
703122;29;1951-09-01
712028;180;1957-07-01
721525;990;1958-08-01
723999;157;1957-07-01
743808;337;1952-07-01
745152;3008;1958-01-01
