TrainerID;Nationality
2;Germany
3;Netherlands
4;Scotland
6;Switzerland
7;Belgium
9;Norway
10;Germany
13;Croatia
15;England
15;Germany
16;Germany
19;Germany
20;Germany
21;Germany
23;Germany
24;Germany
34;Hungary
38;Germany
40;Spain
42;Germany
44;Germany
49;Germany
50;Germany
54;Germany
55;Germany
59;Germany
62;Germany
65;Germany
67;Germany
70;Austria
70;Switzerland
72;Germany
73;Germany
75;Germany
76;Germany
78;Germany
81;Germany
83;Netherlands
84;Germany
85;Romania
85;Turkey
88;Germany
90;Germany
91;Austria
92;Germany
92;Switzerland
94;Germany
97;Germany
102;Austria
115;Germany
124;Germany
126;Germany
128;Austria
129;Austria
129;Germany
134;Germany
140;Germany
141;Germany
144;Germany
149;Germany
155;Germany
158;Germany
166;Germany
176;Northern Ireland
179;Denmark
181;Germany
183;Austria
184;Germany
185;Germany
190;Germany
196;Germany
197;Germany
201;Germany
203;Germany
206;Bosnia-Herzegovina
207;Germany
208;England
210;Germany
213;France
224;Germany
225;Germany
232;Germany
235;Germany
239;Germany
243;Germany
246;Serbia
252;Germany
253;Turkey
258;France
258;Mali
261;Germany
262;Italy
269;Germany
271;Germany
272;Germany
273;Germany
275;Germany
277;Bulgaria
279;Germany
280;France
285;Germany
286;Germany
296;Germany
300;Netherlands
301;Belgium
302;Germany
303;Germany
304;Germany
305;Germany
306;Germany
307;Germany
309;Germany
309;Serbia
314;Germany
315;Germany
316;Germany
317;Czech Republic
320;Bulgaria
320;Germany
321;Germany
323;Germany
325;Germany
326;Germany
327;Germany
328;Germany
334;Germany
337;Germany
338;Germany
342;Germany
347;Germany
348;Germany
349;Germany
350;Germany
356;Germany
357;Germany
358;Austria
359;Germany
360;Germany
364;Germany
365;Germany
370;Germany
377;Germany
378;Germany
386;Slovakia
396;Germany
401;Germany
402;Belgium
416;Germany
419;Bulgaria
419;Germany
422;Germany
422;Norway
423;Germany
425;Germany
431;Germany
434;Portugal
435;Germany
437;Germany
439;Netherlands
440;Germany
443;Germany
445;England
446;Ireland
447;England
448;England
449;Scotland
450;Scotland
453;England
454;England
455;Scotland
456;Italy
457;England
458;England
459;England
460;France
461;England
462;England
472;Germany
476;Germany
479;Germany
482;Germany
485;Germany
487;Germany
489;Germany
495;Germany
496;Netherlands
497;Netherlands
498;France
498;Netherlands
499;Netherlands
500;Netherlands
501;Netherlands
502;Netherlands
506;Korea, South
506;Netherlands
509;Netherlands
510;Netherlands
512;Netherlands
513;Italy
513;Libya
514;Italy
515;Italy
516;Italy
517;Italy
518;Italy
519;Italy
520;Italy
521;Italy
522;Italy
523;Italy
524;Italy
525;Italy
526;Argentina
527;Italy
528;Italy
529;Albania
529;Italy
530;Italy
531;Switzerland
532;Switzerland
533;Switzerland
534;Switzerland
535;Switzerland
536;Switzerland
537;Switzerland
538;Switzerland
539;Austria
540;Austria
541;Denmark
543;Russia
543;Tajikistan
544;France
544;Switzerland
545;Austria
549;Austria
550;Austria
552;Mozambique
552;Portugal
553;Netherlands
554;Denmark
555;Germany
556;Denmark
557;Switzerland
558;Switzerland
560;Germany
569;Germany
570;Netherlands
570;Suriname
573;Netherlands
576;Germany
577;Germany
580;Russia
583;Bosnia-Herzegovina
584;Germany
586;Germany
589;Germany
592;Norway
594;Germany
598;England
599;England
599;Ireland
600;England
601;Scotland
602;England
603;Scotland
604;England
605;Northern Ireland
606;England
607;England
608;England
609;England
610;England
611;England
614;Scotland
615;England
616;England
617;Wales
618;England
619;England
620;Scotland
621;Portugal
623;Spain
624;Spain
625;Scotland
626;Scotland
628;Italy
629;Israel
630;Spain
631;Belgium
632;Czech Republic
634;Italy
636;Austria
641;Spain
642;France
643;Germany
645;Scotland
650;England
650;Singapore
651;Scotland
652;Scotland
654;Scotland
657;Scotland
658;Canada
658;Northern Ireland
660;Scotland
663;Scotland
665;Scotland
669;Germany
670;Germany
671;Croatia
672;Germany
674;Germany
675;Germany
676;England
678;Sweden
680;Germany
681;Germany
684;Indonesia
684;Netherlands
689;Germany
692;Germany
693;Italy
698;Germany
700;Belgium
706;Belgium
707;Belgium
711;Belgium
711;Italy
712;Belgium
713;Belgium
714;Belgium
718;Netherlands
719;Belgium
724;Germany
729;Germany
734;Germany
742;Germany
745;Germany
748;Germany
751;Germany
780;Spain
781;Portugal
782;Portugal
783;Turkey
784;Turkey
788;Turkey
789;Turkey
795;Turkey
796;Turkey
801;Turkey
802;Turkey
804;Turkey
805;Romania
807;Turkey
810;Germany
810;Turkey
811;Turkey
814;Turkey
818;Spain
824;France
824;Germany
826;Germany
829;Germany
832;Germany
834;Italy
836;Spain
836;Switzerland
839;Netherlands
841;Switzerland
842;Switzerland
843;Germany
844;Germany
845;Germany
846;Germany
847;Germany
848;Germany
849;Germany
850;Germany
851;Germany
852;Germany
853;Netherlands
854;Germany
857;Belgium
860;Germany
862;Austria
863;Germany
864;Germany
865;Germany
866;Germany
867;Germany
868;Germany
869;Croatia
870;Germany
871;Germany
872;Germany
873;Germany
874;Germany
875;Germany
876;Germany
877;Germany
878;Croatia
879;Germany
880;Hungary
881;Germany
882;Germany
883;Germany
884;France
884;Romania
885;Austria
886;Germany
888;Germany
889;Germany
890;Kosovo
890;Serbia
891;Germany
892;Germany
893;Germany
894;Germany
895;Denmark
896;Germany
897;Croatia
898;Serbia
899;Germany
900;Germany
901;Germany
902;Germany
903;Germany
904;Germany
905;Germany
907;Germany
908;Germany
910;Germany
911;Austria
912;Austria
913;Austria
913;Serbia
914;Germany
915;Germany
916;Germany
917;Germany
918;Germany
919;Germany
920;Germany
921;Germany
922;Germany
923;Germany
924;Germany
925;Germany
926;Germany
927;Germany
928;Germany
929;Germany
930;Germany
931;Germany
932;Netherlands
934;Germany
935;Germany
936;Germany
937;Germany
938;Germany
939;Germany
940;Germany
941;Germany
944;Germany
945;Germany
947;Germany
948;Germany
949;Germany
950;Germany
952;Turkey
953;Germany
954;Germany
955;Germany
957;Germany
958;Germany
959;Switzerland
960;Italy
960;Switzerland
962;Switzerland
963;Switzerland
964;Germany
966;Germany
967;Germany
968;Germany
969;Poland
970;Germany
971;Germany
973;Germany
974;Germany
975;Germany
976;Germany
977;Germany
978;Germany
979;Germany
980;Germany
981;Germany
982;Germany
982;Switzerland
984;Germany
985;Germany
986;Germany
987;Czech Republic
989;Germany
990;Romania
992;Germany
993;Germany
994;Austria
995;Germany
996;Germany
997;Germany
998;England
999;Germany
1006;Ukraine
1007;Germany
1010;Belgium
1015;Germany
1017;Serbia
1019;Bulgaria
1023;Germany
1025;Germany
1027;Germany
1029;Germany
1031;Germany
1033;Germany
1034;Germany
1035;Germany
1036;Germany
1037;Portugal
1039;Poland
1040;Germany
